[rosmaster.master][INFO] 2019-04-02 21:46:13,236: -PUB [/camera/rgb/image_color] /play_1554241563719452921 http://9fe54ba3caf9:45133/
[rosmaster.master][INFO] 2019-04-02 21:46:13,237: -PUB [/camera/depth/disparity] /play_1554241563719452921 http://9fe54ba3caf9:45133/
[rosmaster.master][INFO] 2019-04-02 21:46:13,237: -PUB [/camera/depth/image_rect_raw] /play_1554241563719452921 http://9fe54ba3caf9:45133/
[rosmaster.master][INFO] 2019-04-02 21:46:13,238: -PUB [/camera/depth/image_rect] /play_1554241563719452921 http://9fe54ba3caf9:45133/
[rosmaster.master][INFO] 2019-04-02 21:46:13,239: -PUB [/camera/depth/points] /play_1554241563719452921 http://9fe54ba3caf9:45133/
[rosmaster.master][INFO] 2019-04-02 21:46:13,240: -SERVICE [/play_1554241563719452921/get_loggers] /play_1554241563719452921 rosrpc://9fe54ba3caf9:54369
[rosmaster.master][INFO] 2019-04-02 21:46:13,241: -SERVICE [/play_1554241563719452921/set_logger_level] /play_1554241563719452921 rosrpc://9fe54ba3caf9:54369
[rosmaster.master][INFO] 2019-04-02 21:46:13,266: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:46:13,267: publisherUpdate[/camera/depth/image_raw] -> http://9fe54ba3caf9:36719/
[rosmaster.master][INFO] 2019-04-02 21:48:22,902: +PUB [/rosout] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:22,903: +SERVICE [/play_1554241702899875567/get_loggers] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:22,904: +SERVICE [/play_1554241702899875567/set_logger_level] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:22,905: +PUB [/clock] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:22,965: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:48:35,680: +PUB [/camera/rgb/image_raw] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:35,681: +PUB [/camera/rgb/image_mono] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:35,682: +PUB [/camera/rgb/image_color] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:35,683: +PUB [/camera/depth/image_raw] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:35,684: publisherUpdate[/camera/depth/image_raw] -> http://9fe54ba3caf9:36719/
[rosmaster.master][INFO] 2019-04-02 21:48:35,685: +PUB [/camera/depth/image_rect_raw] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:35,686: +PUB [/camera/depth/disparity] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:35,688: +PUB [/camera/depth/image_rect] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:35,688: +PUB [/camera/depth/points] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:49,447: -PUB [/rosout] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:49,448: -PUB [/clock] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:49,448: -PUB [/camera/rgb/image_raw] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:49,449: -PUB [/camera/rgb/image_mono] /play_1554241702899875567 http://9fe54ba3caf9:37963/
[rosmaster.master][INFO] 2019-04-02 21:48:49,449: -PUB [/camera/rgb/image_color] /play_1554241702899875567 http://9fe54ba3caf9:37963/
